id,title,author,year,publisher,genre,rating,pages,language,description
25,Book Title 25,Author 25,1912,Publisher 5,Thriller,2.3,466,English,Description for book 25...
26,Book Title 26,Author 26,1903,Publisher 6,Fantasy,2.5,611,Chinese,Description for book 26...
27,Book Title 27,Author 27,1943,Publisher 7,Fiction,3.7,526,Spanish,Description for book 27...
28,Book Title 28,Author 28,1963,Publisher 8,Romance,1.3,784,French,Description for book 28...
29,Book Title 29,Author 29,2022,Publisher 9,Mystery,3.5,264,English,Description for book 29...
30,Book Title 30,Author 30,1943,Publisher 10,Horror,3.6,364,French,Description for book 30...
31,Book Title 31,Author 31,1914,Publisher 11,Biography,1.4,289,French,Description for book 31...
32,Book Title 32,Author 32,2022,Publisher 12,Science Fiction,1.4,122,Spanish,Description for book 32...
33,Book Title 33,Author 33,1923,Publisher 13,Biography,2.3,715,English,Description for book 33...
34,Book Title 34,Author 34,1966,Publisher 14,Non-Fiction,1.2,251,German,Description for book 34...
35,Book Title 35,Author 35,1957,Publisher 15,Biography,1.4,184,French,Description for book 35...
36,Book Title 36,Author 36,1952,Publisher 16,Romance,1.5,259,Spanish,Description for book 36...
37,Book Title 37,Author 37,1969,Publisher 17,Horror,1.9,589,German,Description for book 37...
38,Book Title 38,Author 38,2001,Publisher 18,Fiction,4.6,453,Chinese,Description for book 38...
39,Book Title 39,Author 39,2003,Publisher 19,Horror,2.8,440,Spanish,Description for book 39...
40,Book Title 40,Author 40,1906,Publisher 0,Biography,3.5,343,Chinese,Description for book 40...
41,Book Title 41,Author 41,2020,Publisher 1,Non-Fiction,3.1,376,Spanish,Description for book 41...
42,Book Title 42,Author 42,1969,Publisher 2,Horror,2.5,419,German,Description for book 42...
43,Book Title 43,Author 43,1943,Publisher 3,Romance,1.3,222,Chinese,Description for book 43...
44,Book Title 44,Author 44,1955,Publisher 4,Biography,4.7,226,German,Description for book 44...
45,Book Title 45,Author 45,2022,Publisher 5,Fantasy,4.6,795,Chinese,Description for book 45...
46,Book Title 46,Author 46,1915,Publisher 6,Biography,2.5,133,German,Description for book 46...
47,Book Title 47,Author 47,1931,Publisher 7,Mystery,2.3,632,English,Description for book 47...
48,Book Title 48,Author 48,1968,Publisher 8,Romance,4.0,314,Chinese,Description for book 48...
49,Book Title 49,Author 49,1953,Publisher 9,Fiction,3.2,730,Chinese,Description for book 49...
50,Book Title 50,Author 50,2005,Publisher 10,Thriller,3.6,674,French,Description for book 50...
51,Book Title 51,Author 51,1966,Publisher 11,Biography,2.6,722,Chinese,Description for book 51...
52,Book Title 52,Author 52,1963,Publisher 12,Science Fiction,1.0,693,French,Description for book 52...
53,Book Title 53,Author 53,1982,Publisher 13,Thriller,4.4,108,French,Description for book 53...
54,Book Title 54,Author 54,1945,Publisher 14,Mystery,4.6,453,Spanish,Description for book 54...
55,Book Title 55,Author 55,2018,Publisher 15,Science Fiction,3.6,726,French,Description for book 55...
56,Book Title 56,Author 56,2012,Publisher 16,Non-Fiction,1.2,597,Spanish,Description for book 56...
57,Book Title 57,Author 57,1918,Publisher 17,Fantasy,2.4,307,Spanish,Description for book 57...
58,Book Title 58,Author 58,1995,Publisher 18,Fantasy,4.0,598,French,Description for book 58...
59,Book Title 59,Author 59,1903,Publisher 19,Thriller,3.6,237,Chinese,Description for book 59...
60,Book Title 60,Author 60,1915,Publisher 0,Thriller,5.0,290,Chinese,Description for book 60...
61,Book Title 61,Author 61,1966,Publisher 1,Mystery,5.0,144,Spanish,Description for book 61...
62,Book Title 62,Author 62,1936,Publisher 2,Fiction,4.1,247,Spanish,Description for book 62...
63,Book Title 63,Author 63,1948,Publisher 3,Fiction,1.4,643,German,Description for book 63...
64,Book Title 64,Author 64,1913,Publisher 4,Mystery,2.4,453,English,Description for book 64...
65,Book Title 65,Author 65,1991,Publisher 5,Fantasy,3.6,345,German,Description for book 65...
66,Book Title 66,Author 66,1967,Publisher 6,Fantasy,1.7,349,Chinese,Description for book 66...
67,Book Title 67,Author 67,1967,Publisher 7,Non-Fiction,1.2,368,German,Description for book 67...
68,Book Title 68,Author 68,2009,Publisher 8,Fiction,1.6,290,Spanish,Description for book 68...
69,Book Title 69,Author 69,2022,Publisher 9,Mystery,3.4,153,French,Description for book 69...
70,Book Title 70,Author 70,2021,Publisher 10,Fantasy,4.5,700,German,Description for book 70...
71,Book Title 71,Author 71,1929,Publisher 11,Mystery,4.2,562,English,Description for book 71...
72,Book Title 72,Author 72,1983,Publisher 12,Non-Fiction,1.3,706,English,Description for book 72...
73,Book Title 73,Author 73,1904,Publisher 13,Fantasy,3.7,688,French,Description for book 73...
74,Book Title 74,Author 74,1955,Publisher 14,Thriller,3.2,368,English,Description for book 74...
75,Book Title 75,Author 75,2015,Publisher 15,Science Fiction,3.1,203,Spanish,Description for book 75...
76,Book Title 76,Author 76,1909,Publisher 16,Fiction,1.8,636,French,Description for book 76...
77,Book Title 77,Author 77,2018,Publisher 17,Fantasy,4.7,454,Chinese,Description for book 77...
78,Book Title 78,Author 78,1901,Publisher 18,Mystery,2.0,382,English,Description for book 78...
79,Book Title 79,Author 79,2004,Publisher 19,Mystery,5.0,683,Spanish,Description for book 79...
80,Book Title 80,Author 80,1927,Publisher 0,Science Fiction,3.3,647,German,Description for book 80...
81,Book Title 81,Author 81,1907,Publisher 1,Fiction,2.4,392,French,Description for book 81...
82,Book Title 82,Author 82,2007,Publisher 2,Science Fiction,1.1,420,French,Description for book 82...
83,Book Title 83,Author 83,2004,Publisher 3,Horror,1.8,348,Chinese,Description for book 83...
84,Book Title 84,Author 84,1999,Publisher 4,Mystery,3.7,502,Chinese,Description for book 84...
85,Book Title 85,Author 85,1922,Publisher 5,Science Fiction,2.9,100,Spanish,Description for book 85...
86,Book Title 86,Author 86,1935,Publisher 6,Biography,3.6,371,Chinese,Description for book 86...
87,Book Title 87,Author 87,1983,Publisher 7,Romance,1.1,184,French,Description for book 87...
88,Book Title 88,Author 88,2006,Publisher 8,Fiction,4.4,506,German,Description for book 88...
89,Book Title 89,Author 89,2009,Publisher 9,Mystery,3.6,595,German,Description for book 89...
90,Book Title 90,Author 90,1907,Publisher 10,Biography,3.7,189,Chinese,Description for book 90...
91,Book Title 91,Author 91,1954,Publisher 11,Fiction,4.2,770,French,Description for book 91...
92,Book Title 92,Author 92,2021,Publisher 12,Fantasy,1.9,735,Chinese,Description for book 92...
93,Book Title 93,Author 93,1972,Publisher 13,Fantasy,1.2,594,Chinese,Description for book 93...
94,Book Title 94,Author 94,1927,Publisher 14,Fantasy,2.9,603,German,Description for book 94...
95,Book Title 95,Author 95,1987,Publisher 15,Mystery,4.7,715,French,Description for book 95...
96,Book Title 96,Author 96,1969,Publisher 16,Horror,3.4,199,German,Description for book 96...
97,Book Title 97,Author 97,2011,Publisher 17,Horror,1.2,342,German,Description for book 97...
98,Book Title 98,Author 98,2005,Publisher 18,Fantasy,1.2,538,English,Description for book 98...
99,Book Title 99,Author 99,1990,Publisher 19,Science Fiction,1.9,136,German,Description for book 99...
100,Book Title 100,Author 0,1986,Publisher 0,Mystery,1.6,509,Spanish,Description for book 100...
101,Book Title 101,Author 1,1995,Publisher 1,Horror,3.9,798,German,Description for book 101...
102,Book Title 102,Author 2,1942,Publisher 2,Thriller,4.7,138,French,Description for book 102...
103,Book Title 103,Author 3,1997,Publisher 3,Science Fiction,4.4,517,Chinese,Description for book 103...
104,Book Title 104,Author 4,1963,Publisher 4,Mystery,3.2,658,Spanish,Description for book 104...
105,Book Title 105,Author 5,1902,Publisher 5,Fiction,2.7,476,Spanish,Description for book 105...
106,Book Title 106,Author 6,2003,Publisher 6,Biography,1.1,246,English,Description for book 106...
107,Book Title 107,Author 7,1974,Publisher 7,Science Fiction,4.6,788,Spanish,Description for book 107...
108,Book Title 108,Author 8,1906,Publisher 8,Romance,4.4,177,English,Description for book 108...
109,Book Title 109,Author 9,2001,Publisher 9,Horror,3.8,244,Chinese,Description for book 109...
110,Book Title 110,Author 10,1984,Publisher 10,Non-Fiction,1.7,759,German,Description for book 110...
111,Book Title 111,Author 11,1967,Publisher 11,Biography,1.8,164,German,Description for book 111...
112,Book Title 112,Author 12,1939,Publisher 12,Thriller,1.6,503,German,Description for book 112...
113,Book Title 113,Author 13,1995,Publisher 13,Mystery,3.6,260,Chinese,Description for book 113...
114,Book Title 114,Author 14,1917,Publisher 14,Fiction,2.7,213,Spanish,Description for book 114...
115,Book Title 115,Author 15,2005,Publisher 15,Non-Fiction,2.9,617,Chinese,Description for book 115...
116,Book Title 116,Author 16,1960,Publisher 16,Fantasy,4.5,419,French,Description for book 116...
117,Book Title 117,Author 17,1949,Publisher 17,Thriller,1.1,166,Spanish,Description for book 117...
118,Book Title 118,Author 18,1933,Publisher 18,Fiction,1.1,323,English,Description for book 118...
119,Book Title 119,Author 19,1903,Publisher 19,Mystery,4.7,287,Spanish,Description for book 119...
120,Book Title 120,Author 20,1930,Publisher 0,Romance,3.5,647,Chinese,Description for book 120...
121,Book Title 121,Author 21,1929,Publisher 1,Romance,1.2,251,Chinese,Description for book 121...
122,Book Title 122,Author 22,2006,Publisher 2,Fantasy,1.0,680,Chinese,Description for book 122...
123,Book Title 123,Author 23,2009,Publisher 3,Fantasy,2.0,279,Spanish,Description for book 123...
124,Book Title 124,Author 24,1982,Publisher 4,Thriller,2.7,439,Spanish,Description for book 124...
125,Book Title 125,Author 25,1925,Publisher 5,Fiction,4.9,752,French,Description for book 125...
126,Book Title 126,Author 26,1966,Publisher 6,Biography,1.7,279,Spanish,Description for book 126...
127,Book Title 127,Author 27,1990,Publisher 7,Non-Fiction,2.3,613,French,Description for book 127...
128,Book Title 128,Author 28,1941,Publisher 8,Fiction,1.5,140,English,Description for book 128...
129,Book Title 129,Author 29,2013,Publisher 9,Mystery,1.4,178,French,Description for book 129...
130,Book Title 130,Author 30,1954,Publisher 10,Fantasy,1.2,786,German,Description for book 130...
131,Book Title 131,Author 31,2017,Publisher 11,Fantasy,4.1,763,Spanish,Description for book 131...
132,Book Title 132,Author 32,2003,Publisher 12,Fantasy,2.2,349,German,Description for book 132...
133,Book Title 133,Author 33,1928,Publisher 13,Non-Fiction,2.0,162,Chinese,Description for book 133...
134,Book Title 134,Author 34,2016,Publisher 14,Horror,4.0,582,Spanish,Description for book 134...
135,Book Title 135,Author 35,1987,Publisher 15,Mystery,1.4,744,German,Description for book 135...
136,Book Title 136,Author 36,2017,Publisher 16,Mystery,2.8,146,French,Description for book 136...
137,Book Title 137,Author 37,1908,Publisher 17,Thriller,4.6,459,German,Description for book 137...
138,Book Title 138,Author 38,2019,Publisher 18,Horror,4.8,217,English,Description for book 138...
139,Book Title 139,Author 39,1988,Publisher 19,Mystery,2.0,458,German,Description for book 139...
140,Book Title 140,Author 40,1971,Publisher 0,Science Fiction,4.8,346,Chinese,Description for book 140...
141,Book Title 141,Author 41,1913,Publisher 1,Science Fiction,4.4,183,English,Description for book 141...
142,Book Title 142,Author 42,1984,Publisher 2,Romance,3.5,125,German,Description for book 142...
143,Book Title 143,Author 43,1902,Publisher 3,Science Fiction,3.1,462,French,Description for book 143...
144,Book Title 144,Author 44,1939,Publisher 4,Science Fiction,5.0,324,French,Description for book 144...
145,Book Title 145,Author 45,1904,Publisher 5,Fantasy,2.4,595,Chinese,Description for book 145...
146,Book Title 146,Author 46,2000,Publisher 6,Fantasy,4.1,768,Spanish,Description for book 146...
147,Book Title 147,Author 47,2012,Publisher 7,Romance,2.1,640,English,Description for book 147...
148,Book Title 148,Author 48,1957,Publisher 8,Fiction,4.2,409,English,Description for book 148...
149,Book Title 149,Author 49,1975,Publisher 9,Science Fiction,4.6,229,German,Description for book 149...
150,Book Title 150,Author 50,2014,Publisher 10,Fiction,2.5,377,Spanish,Description for book 150...
151,Book Title 151,Author 51,1981,Publisher 11,Science Fiction,4.4,674,German,Description for book 151...
152,Book Title 152,Author 52,1948,Publisher 12,Mystery,2.6,753,French,Description for book 152...
153,Book Title 153,Author 53,1986,Publisher 13,Romance,2.7,516,German,Description for book 153...
154,Book Title 154,Author 54,1969,Publisher 14,Romance,4.2,642,English,Description for book 154...
155,Book Title 155,Author 55,1946,Publisher 15,Thriller,3.9,570,French,Description for book 155...
156,Book Title 156,Author 56,2013,Publisher 16,Mystery,4.5,211,French,Description for book 156...
157,Book Title 157,Author 57,1987,Publisher 17,Romance,4.0,521,French,Description for book 157...
158,Book Title 158,Author 58,1966,Publisher 18,Fantasy,3.4,169,Spanish,Description for book 158...
159,Book Title 159,Author 59,2016,Publisher 19,Thriller,1.8,186,German,Description for book 159...
160,Book Title 160,Author 60,1901,Publisher 0,Fantasy,1.6,370,Chinese,Description for book 160...
161,Book Title 161,Author 61,1908,Publisher 1,Fiction,3.3,119,English,Description for book 161...
162,Book Title 162,Author 62,1924,Publisher 2,Thriller,3.3,652,Spanish,Description for book 162...
163,Book Title 163,Author 63,1902,Publisher 3,Thriller,2.0,435,French,Description for book 163...
164,Book Title 164,Author 64,2004,Publisher 4,Science Fiction,2.8,274,Spanish,Description for book 164...
165,Book Title 165,Author 65,2005,Publisher 5,Romance,2.2,107,Spanish,Description for book 165...
166,Book Title 166,Author 66,1970,Publisher 6,Science Fiction,1.7,638,German,Description for book 166...
167,Book Title 167,Author 67,1970,Publisher 7,Fiction,1.8,791,English,Description for book 167...
168,Book Title 168,Author 68,2010,Publisher 8,Fiction,2.1,523,French,Description for book 168...
169,Book Title 169,Author 69,2001,Publisher 9,Non-Fiction,3.1,718,French,Description for book 169...
170,Book Title 170,Author 70,2020,Publisher 10,Biography,2.3,400,English,Description for book 170...
171,Book Title 171,Author 71,1945,Publisher 11,Thriller,1.2,477,English,Description for book 171...
172,Book Title 172,Author 72,1907,Publisher 12,Science Fiction,2.2,165,German,Description for book 172...
173,Book Title 173,Author 73,1993,Publisher 13,Biography,3.9,652,French,Description for book 173...
174,Book Title 174,Author 74,1903,Publisher 14,Mystery,3.1,217,English,Description for book 174...
175,Book Title 175,Author 75,1932,Publisher 15,Thriller,2.7,530,German,Description for book 175...
176,Book Title 176,Author 76,2022,Publisher 16,Fantasy,4.8,257,French,Description for book 176...
177,Book Title 177,Author 77,1954,Publisher 17,Fantasy,2.7,151,French,Description for book 177...
178,Book Title 178,Author 78,1930,Publisher 18,Fiction,3.6,449,English,Description for book 178...
179,Book Title 179,Author 79,1901,Publisher 19,Romance,4.6,589,German,Description for book 179...
180,Book Title 180,Author 80,1996,Publisher 0,Horror,1.2,447,English,Description for book 180...
181,Book Title 181,Author 81,2010,Publisher 1,Fiction,3.3,734,Spanish,Description for book 181...
182,Book Title 182,Author 82,1976,Publisher 2,Non-Fiction,3.3,635,German,Description for book 182...
183,Book Title 183,Author 83,1912,Publisher 3,Fantasy,2.1,569,Spanish,Description for book 183...
184,Book Title 184,Author 84,1938,Publisher 4,Mystery,4.8,361,German,Description for book 184...
185,Book Title 185,Author 85,2012,Publisher 5,Biography,3.7,193,French,Description for book 185...
186,Book Title 186,Author 86,1964,Publisher 6,Biography,1.0,399,Spanish,Description for book 186...
187,Book Title 187,Author 87,1923,Publisher 7,Mystery,1.7,103,French,Description for book 187...
188,Book Title 188,Author 88,1925,Publisher 8,Horror,3.3,241,English,Description for book 188...
189,Book Title 189,Author 89,1982,Publisher 9,Thriller,2.5,332,German,Description for book 189...
190,Book Title 190,Author 90,1956,Publisher 10,Biography,2.8,530,French,Description for book 190...
191,Book Title 191,Author 91,2009,Publisher 11,Fantasy,2.7,155,French,Description for book 191...
192,Book Title 192,Author 92,1902,Publisher 12,Horror,2.7,583,Chinese,Description for book 192...
193,Book Title 193,Author 93,2017,Publisher 13,Mystery,1.6,505,Chinese,Description for book 193...
194,Book Title 194,Author 94,1908,Publisher 14,Non-Fiction,3.0,624,Spanish,Description for book 194...
195,Book Title 195,Author 95,2012,Publisher 15,Mystery,4.1,712,German,Description for book 195...
196,Book Title 196,Author 96,2000,Publisher 16,Horror,2.4,654,Spanish,Description for book 196...
197,Book Title 197,Author 97,2008,Publisher 17,Horror,3.5,578,English,Description for book 197...
198,Book Title 198,Author 98,1933,Publisher 18,Romance,2.0,194,Chinese,Description for book 198...
199,Book Title 199,Author 99,2014,Publisher 19,Mystery,4.5,557,German,Description for book 199...
200,Book Title 200,Author 0,1906,Publisher 0,Fantasy,2.5,322,French,Description for book 200...
201,Book Title 201,Author 1,1905,Publisher 1,Thriller,1.4,152,English,Description for book 201...
202,Book Title 202,Author 2,1991,Publisher 2,Thriller,4.3,732,Spanish,Description for book 202...
203,Book Title 203,Author 3,2008,Publisher 3,Biography,2.1,606,Chinese,Description for book 203...
204,Book Title 204,Author 4,1936,Publisher 4,Romance,4.4,554,Chinese,Description for book 204...
205,Book Title 205,Author 5,1962,Publisher 5,Fiction,1.3,769,German,Description for book 205...
206,Book Title 206,Author 6,1976,Publisher 6,Non-Fiction,4.0,124,French,Description for book 206...
207,Book Title 207,Author 7,1994,Publisher 7,Thriller,1.3,212,Chinese,Description for book 207...
208,Book Title 208,Author 8,1920,Publisher 8,Biography,1.2,197,Chinese,Description for book 208...
209,Book Title 209,Author 9,2006,Publisher 9,Non-Fiction,4.7,738,English,Description for book 209...
210,Book Title 210,Author 10,1996,Publisher 10,Science Fiction,3.2,301,French,Description for book 210...
211,Book Title 211,Author 11,1912,Publisher 11,Biography,3.1,706,English,Description for book 211...
212,Book Title 212,Author 12,1923,Publisher 12,Biography,2.8,301,German,Description for book 212...
213,Book Title 213,Author 13,1975,Publisher 13,Biography,1.1,392,Chinese,Description for book 213...
214,Book Title 214,Author 14,1911,Publisher 14,Science Fiction,1.0,795,Spanish,Description for book 214...
215,Book Title 215,Author 15,1928,Publisher 15,Thriller,1.2,708,English,Description for book 215...
216,Book Title 216,Author 16,1915,Publisher 16,Fantasy,1.1,435,French,Description for book 216...
217,Book Title 217,Author 17,1987,Publisher 17,Romance,1.8,668,Chinese,Description for book 217...
218,Book Title 218,Author 18,2002,Publisher 18,Non-Fiction,1.1,728,Chinese,Description for book 218...
219,Book Title 219,Author 19,2016,Publisher 19,Biography,4.8,158,Chinese,Description for book 219...
220,Book Title 220,Author 20,1919,Publisher 0,Thriller,4.0,605,Spanish,Description for book 220...
221,Book Title 221,Author 21,1983,Publisher 1,Science Fiction,2.3,649,Spanish,Description for book 221...
222,Book Title 222,Author 22,1927,Publisher 2,Horror,4.2,663,English,Description for book 222...
223,Book Title 223,Author 23,1990,Publisher 3,Fantasy,1.3,679,French,Description for book 223...
224,Book Title 224,Author 24,1997,Publisher 4,Mystery,1.6,519,Chinese,Description for book 224...
225,Book Title 225,Author 25,2017,Publisher 5,Mystery,1.0,480,English,Description for book 225...
226,Book Title 226,Author 26,1960,Publisher 6,Non-Fiction,1.3,759,German,Description for book 226...
227,Book Title 227,Author 27,1931,Publisher 7,Science Fiction,3.4,464,Chinese,Description for book 227...
228,Book Title 228,Author 28,1952,Publisher 8,Fiction,4.6,455,English,Description for book 228...
229,Book Title 229,Author 29,1959,Publisher 9,Non-Fiction,3.0,795,Spanish,Description for book 229...
230,Book Title 230,Author 30,1937,Publisher 10,Horror,4.1,266,German,Description for book 230...
231,Book Title 231,Author 31,1959,Publisher 11,Horror,4.9,648,Chinese,Description for book 231...
232,Book Title 232,Author 32,2013,Publisher 12,Horror,2.9,533,German,Description for book 232...
233,Book Title 233,Author 33,1928,Publisher 13,Non-Fiction,3.7,156,Chinese,Description for book 233...
234,Book Title 234,Author 34,1997,Publisher 14,Biography,4.0,723,German,Description for book 234...
235,Book Title 235,Author 35,1907,Publisher 15,Horror,4.2,190,Chinese,Description for book 235...
236,Book Title 236,Author 36,1963,Publisher 16,Science Fiction,2.0,186,English,Description for book 236...
237,Book Title 237,Author 37,1942,Publisher 17,Science Fiction,1.9,378,French,Description for book 237...
238,Book Title 238,Author 38,2018,Publisher 18,Non-Fiction,4.8,799,Chinese,Description for book 238...
239,Book Title 239,Author 39,1900,Publisher 19,Romance,1.9,500,English,Description for book 239...
240,Book Title 240,Author 40,1975,Publisher 0,Fantasy,4.6,168,English,Description for book 240...
241,Book Title 241,Author 41,1991,Publisher 1,Thriller,4.0,631,French,Description for book 241...
242,Book Title 242,Author 42,1938,Publisher 2,Fantasy,4.4,617,French,Description for book 242...
243,Book Title 243,Author 43,1976,Publisher 3,Mystery,1.6,221,Spanish,Description for book 243...
244,Book Title 244,Author 44,1902,Publisher 4,Biography,3.6,694,English,Description for book 244...
245,Book Title 245,Author 45,1980,Publisher 5,Fantasy,3.5,420,Spanish,Description for book 245...
246,Book Title 246,Author 46,1994,Publisher 6,Non-Fiction,4.9,638,Chinese,Description for book 246...
247,Book Title 247,Author 47,1993,Publisher 7,Romance,4.8,249,French,Description for book 247...
248,Book Title 248,Author 48,1901,Publisher 8,Non-Fiction,4.1,228,Spanish,Description for book 248...
249,Book Title 249,Author 49,1916,Publisher 9,Fantasy,4.8,371,Spanish,Description for book 249...
250,Book Title 250,Author 50,2019,Publisher 10,Mystery,1.1,772,German,Description for book 250...
251,Book Title 251,Author 51,1907,Publisher 11,Horror,1.7,714,Chinese,Description for book 251...
252,Book Title 252,Author 52,1905,Publisher 12,Non-Fiction,3.6,239,English,Description for book 252...
253,Book Title 253,Author 53,1993,Publisher 13,Fiction,4.6,678,French,Description for book 253...
254,Book Title 254,Author 54,2013,Publisher 14,Mystery,2.2,421,French,Description for book 254...
255,Book Title 255,Author 55,1968,Publisher 15,Biography,2.2,261,Chinese,Description for book 255...
256,Book Title 256,Author 56,1964,Publisher 16,Fantasy,3.3,225,German,Description for book 256...
257,Book Title 257,Author 57,1925,Publisher 17,Fantasy,4.2,146,German,Description for book 257...
258,Book Title 258,Author 58,1952,Publisher 18,Romance,1.7,635,German,Description for book 258...
259,Book Title 259,Author 59,1903,Publisher 19,Fiction,3.0,459,Spanish,Description for book 259...
260,Book Title 260,Author 60,1936,Publisher 0,Non-Fiction,3.7,224,German,Description for book 260...
261,Book Title 261,Author 61,1993,Publisher 1,Fiction,1.7,278,Chinese,Description for book 261...
262,Book Title 262,Author 62,1962,Publisher 2,Fiction,2.5,781,Spanish,Description for book 262...
263,Book Title 263,Author 63,1972,Publisher 3,Biography,4.4,518,French,Description for book 263...
264,Book Title 264,Author 64,1916,Publisher 4,Non-Fiction,1.7,720,French,Description for book 264...
265,Book Title 265,Author 65,2005,Publisher 5,Horror,4.0,497,German,Description for book 265...
266,Book Title 266,Author 66,1910,Publisher 6,Romance,4.8,493,German,Description for book 266...
267,Book Title 267,Author 67,2017,Publisher 7,Non-Fiction,4.2,528,French,Description for book 267...
268,Book Title 268,Author 68,1926,Publisher 8,Non-Fiction,1.5,615,English,Description for book 268...
269,Book Title 269,Author 69,1990,Publisher 9,Romance,4.9,770,Chinese,Description for book 269...
270,Book Title 270,Author 70,1991,Publisher 10,Non-Fiction,2.2,584,French,Description for book 270...
271,Book Title 271,Author 71,1987,Publisher 11,Horror,4.8,293,German,Description for book 271...
272,Book Title 272,Author 72,2001,Publisher 12,Science Fiction,4.8,306,German,Description for book 272...
273,Book Title 273,Author 73,2015,Publisher 13,Mystery,1.6,500,Chinese,Description for book 273...
274,Book Title 274,Author 74,1922,Publisher 14,Non-Fiction,1.5,461,Spanish,Description for book 274...
275,Book Title 275,Author 75,2012,Publisher 15,Mystery,2.9,196,German,Description for book 275...
276,Book Title 276,Author 76,1994,Publisher 16,Non-Fiction,4.8,165,Chinese,Description for book 276...
277,Book Title 277,Author 77,1965,Publisher 17,Non-Fiction,3.0,148,English,Description for book 277...
278,Book Title 278,Author 78,1928,Publisher 18,Mystery,4.0,533,English,Description for book 278...
279,Book Title 279,Author 79,1995,Publisher 19,Fiction,2.5,189,Chinese,Description for book 279...
280,Book Title 280,Author 80,1988,Publisher 0,Fiction,3.3,190,German,Description for book 280...
281,Book Title 281,Author 81,2011,Publisher 1,Fantasy,1.1,638,English,Description for book 281...
282,Book Title 282,Author 82,1955,Publisher 2,Fantasy,2.3,224,French,Description for book 282...
283,Book Title 283,Author 83,1909,Publisher 3,Science Fiction,4.0,182,English,Description for book 283...
284,Book Title 284,Author 84,2006,Publisher 4,Fantasy,2.8,733,Chinese,Description for book 284...
285,Book Title 285,Author 85,1998,Publisher 5,Science Fiction,3.3,251,English,Description for book 285...
286,Book Title 286,Author 86,2021,Publisher 6,Biography,3.5,416,French,Description for book 286...
287,Book Title 287,Author 87,1955,Publisher 7,Science Fiction,4.9,147,French,Description for book 287...
288,Book Title 288,Author 88,1968,Publisher 8,Horror,1.5,521,English,Description for book 288...
289,Book Title 289,Author 89,1973,Publisher 9,Science Fiction,1.9,730,Spanish,Description for book 289...
290,Book Title 290,Author 90,1919,Publisher 10,Non-Fiction,3.5,781,German,Description for book 290...
291,Book Title 291,Author 91,1989,Publisher 11,Science Fiction,3.6,502,Chinese,Description for book 291...
292,Book Title 292,Author 92,1977,Publisher 12,Romance,2.4,528,German,Description for book 292...
293,Book Title 293,Author 93,1930,Publisher 13,Science Fiction,3.2,704,German,Description for book 293...
294,Book Title 294,Author 94,2013,Publisher 14,Romance,1.6,579,German,Description for book 294...
295,Book Title 295,Author 95,1974,Publisher 15,Science Fiction,4.5,567,Spanish,Description for book 295...
296,Book Title 296,Author 96,2010,Publisher 16,Thriller,4.9,394,Spanish,Description for book 296...
297,Book Title 297,Author 97,1994,Publisher 17,Romance,1.1,558,English,Description for book 297...
298,Book Title 298,Author 98,1946,Publisher 18,Thriller,4.4,661,German,Description for book 298...
299,Book Title 299,Author 99,1967,Publisher 19,Romance,4.6,162,Spanish,Description for book 299...
