id,title,author,year,publisher,genre,rating,pages,language,description
38,Book Title 38,Author 38,2013,Publisher 18,Romance,4.0,720,Chinese,Description for book 38...
39,Book Title 39,Author 39,1926,Publisher 19,Non-Fiction,2.9,375,Spanish,Description for book 39...
40,Book Title 40,Author 40,2000,Publisher 0,Thriller,3.5,243,German,Description for book 40...
41,Book Title 41,Author 41,2017,Publisher 1,Mystery,1.5,721,Spanish,Description for book 41...
42,Book Title 42,Author 42,1959,Publisher 2,Science Fiction,3.2,244,Spanish,Description for book 42...
43,Book Title 43,Author 43,1927,Publisher 3,Romance,3.3,680,Spanish,Description for book 43...
44,Book Title 44,Author 44,1933,Publisher 4,Horror,2.0,571,Spanish,Description for book 44...
45,Book Title 45,Author 45,1995,Publisher 5,Non-Fiction,1.0,349,German,Description for book 45...
46,Book Title 46,Author 46,1925,Publisher 6,Horror,2.1,631,French,Description for book 46...
47,Book Title 47,Author 47,1917,Publisher 7,Romance,2.1,669,English,Description for book 47...
48,Book Title 48,Author 48,1913,Publisher 8,Horror,2.1,137,French,Description for book 48...
49,Book Title 49,Author 49,1966,Publisher 9,Non-Fiction,4.6,577,English,Description for book 49...
50,Book Title 50,Author 50,2004,Publisher 10,Science Fiction,4.1,250,Spanish,Description for book 50...
51,Book Title 51,Author 51,2013,Publisher 11,Horror,1.5,724,English,Description for book 51...
52,Book Title 52,Author 52,2017,Publisher 12,Thriller,3.8,600,English,Description for book 52...
53,Book Title 53,Author 53,1909,Publisher 13,Fiction,4.4,422,English,Description for book 53...
54,Book Title 54,Author 54,1989,Publisher 14,Non-Fiction,4.6,271,German,Description for book 54...
55,Book Title 55,Author 55,1905,Publisher 15,Thriller,2.0,107,German,Description for book 55...
56,Book Title 56,Author 56,1932,Publisher 16,Mystery,3.8,760,English,Description for book 56...
57,Book Title 57,Author 57,1959,Publisher 17,Romance,3.9,524,Spanish,Description for book 57...
58,Book Title 58,Author 58,1937,Publisher 18,Science Fiction,3.3,272,Spanish,Description for book 58...
59,Book Title 59,Author 59,1985,Publisher 19,Biography,3.4,657,Spanish,Description for book 59...
60,Book Title 60,Author 60,1949,Publisher 0,Horror,3.4,684,German,Description for book 60...
61,Book Title 61,Author 61,1931,Publisher 1,Fantasy,2.6,340,English,Description for book 61...
62,Book Title 62,Author 62,1974,Publisher 2,Non-Fiction,4.5,362,Spanish,Description for book 62...
63,Book Title 63,Author 63,1927,Publisher 3,Mystery,1.2,313,English,Description for book 63...
64,Book Title 64,Author 64,1992,Publisher 4,Fiction,2.3,447,Chinese,Description for book 64...
65,Book Title 65,Author 65,1949,Publisher 5,Fiction,4.8,736,English,Description for book 65...
66,Book Title 66,Author 66,1910,Publisher 6,Non-Fiction,1.3,347,French,Description for book 66...
67,Book Title 67,Author 67,1977,Publisher 7,Non-Fiction,4.6,249,Spanish,Description for book 67...
68,Book Title 68,Author 68,1981,Publisher 8,Thriller,3.4,146,Chinese,Description for book 68...
69,Book Title 69,Author 69,2000,Publisher 9,Romance,1.7,344,French,Description for book 69...
70,Book Title 70,Author 70,1956,Publisher 10,Romance,2.2,473,Chinese,Description for book 70...
71,Book Title 71,Author 71,1945,Publisher 11,Horror,4.4,315,French,Description for book 71...
72,Book Title 72,Author 72,1948,Publisher 12,Thriller,3.0,542,Chinese,Description for book 72...
73,Book Title 73,Author 73,1979,Publisher 13,Thriller,4.6,459,Chinese,Description for book 73...
74,Book Title 74,Author 74,1985,Publisher 14,Biography,2.6,589,Chinese,Description for book 74...
75,Book Title 75,Author 75,2013,Publisher 15,Science Fiction,1.6,740,English,Description for book 75...
76,Book Title 76,Author 76,1920,Publisher 16,Biography,2.0,153,German,Description for book 76...
77,Book Title 77,Author 77,2009,Publisher 17,Mystery,2.6,333,English,Description for book 77...
78,Book Title 78,Author 78,1977,Publisher 18,Horror,1.8,610,German,Description for book 78...
79,Book Title 79,Author 79,1923,Publisher 19,Thriller,1.6,785,English,Description for book 79...
80,Book Title 80,Author 80,1926,Publisher 0,Fiction,2.7,492,French,Description for book 80...
81,Book Title 81,Author 81,1988,Publisher 1,Non-Fiction,1.2,535,German,Description for book 81...
82,Book Title 82,Author 82,1930,Publisher 2,Mystery,1.4,614,Chinese,Description for book 82...
83,Book Title 83,Author 83,2017,Publisher 3,Mystery,3.7,515,Spanish,Description for book 83...
84,Book Title 84,Author 84,1970,Publisher 4,Fiction,2.2,698,Chinese,Description for book 84...
85,Book Title 85,Author 85,2021,Publisher 5,Thriller,4.3,777,German,Description for book 85...
86,Book Title 86,Author 86,1966,Publisher 6,Romance,4.7,773,English,Description for book 86...
87,Book Title 87,Author 87,2016,Publisher 7,Biography,4.5,682,Chinese,Description for book 87...
88,Book Title 88,Author 88,1972,Publisher 8,Mystery,4.8,505,German,Description for book 88...
89,Book Title 89,Author 89,1944,Publisher 9,Non-Fiction,2.5,484,English,Description for book 89...
90,Book Title 90,Author 90,2021,Publisher 10,Horror,4.8,768,French,Description for book 90...
91,Book Title 91,Author 91,1977,Publisher 11,Science Fiction,2.6,792,German,Description for book 91...
92,Book Title 92,Author 92,2020,Publisher 12,Thriller,3.1,491,French,Description for book 92...
93,Book Title 93,Author 93,1921,Publisher 13,Mystery,1.5,223,Chinese,Description for book 93...
94,Book Title 94,Author 94,1923,Publisher 14,Science Fiction,2.2,160,English,Description for book 94...
95,Book Title 95,Author 95,1938,Publisher 15,Science Fiction,4.4,109,Chinese,Description for book 95...
96,Book Title 96,Author 96,1979,Publisher 16,Thriller,4.1,256,French,Description for book 96...
97,Book Title 97,Author 97,1931,Publisher 17,Romance,4.3,166,English,Description for book 97...
98,Book Title 98,Author 98,2007,Publisher 18,Biography,1.7,740,English,Description for book 98...
99,Book Title 99,Author 99,1984,Publisher 19,Mystery,3.6,464,French,Description for book 99...
100,Book Title 100,Author 0,1924,Publisher 0,Romance,2.0,359,Spanish,Description for book 100...
101,Book Title 101,Author 1,1908,Publisher 1,Biography,3.0,778,German,Description for book 101...
102,Book Title 102,Author 2,1991,Publisher 2,Fantasy,2.8,224,Chinese,Description for book 102...
103,Book Title 103,Author 3,1936,Publisher 3,Fiction,3.0,658,French,Description for book 103...
104,Book Title 104,Author 4,1996,Publisher 4,Fiction,1.7,448,Chinese,Description for book 104...
105,Book Title 105,Author 5,1962,Publisher 5,Biography,4.5,149,German,Description for book 105...
106,Book Title 106,Author 6,1906,Publisher 6,Biography,2.4,614,German,Description for book 106...
107,Book Title 107,Author 7,1951,Publisher 7,Thriller,3.8,370,Chinese,Description for book 107...
108,Book Title 108,Author 8,1943,Publisher 8,Thriller,4.8,657,English,Description for book 108...
109,Book Title 109,Author 9,1954,Publisher 9,Fantasy,3.4,118,French,Description for book 109...
110,Book Title 110,Author 10,1970,Publisher 10,Horror,4.7,567,Chinese,Description for book 110...
111,Book Title 111,Author 11,2009,Publisher 11,Mystery,4.6,642,German,Description for book 111...
112,Book Title 112,Author 12,1947,Publisher 12,Fantasy,2.4,539,Chinese,Description for book 112...
113,Book Title 113,Author 13,1926,Publisher 13,Fiction,4.2,722,French,Description for book 113...
114,Book Title 114,Author 14,1925,Publisher 14,Fiction,3.2,464,Spanish,Description for book 114...
115,Book Title 115,Author 15,2003,Publisher 15,Romance,3.6,213,French,Description for book 115...
116,Book Title 116,Author 16,1966,Publisher 16,Thriller,3.6,160,Chinese,Description for book 116...
117,Book Title 117,Author 17,1955,Publisher 17,Thriller,1.1,130,English,Description for book 117...
118,Book Title 118,Author 18,1941,Publisher 18,Biography,1.8,389,German,Description for book 118...
119,Book Title 119,Author 19,2002,Publisher 19,Fiction,1.1,301,Spanish,Description for book 119...
120,Book Title 120,Author 20,1971,Publisher 0,Science Fiction,3.7,351,English,Description for book 120...
121,Book Title 121,Author 21,2009,Publisher 1,Horror,1.0,431,Spanish,Description for book 121...
122,Book Title 122,Author 22,1936,Publisher 2,Romance,3.9,364,Chinese,Description for book 122...
123,Book Title 123,Author 23,1943,Publisher 3,Science Fiction,3.9,230,Chinese,Description for book 123...
124,Book Title 124,Author 24,1911,Publisher 4,Fiction,2.3,100,Chinese,Description for book 124...
125,Book Title 125,Author 25,2002,Publisher 5,Non-Fiction,3.4,316,Chinese,Description for book 125...
126,Book Title 126,Author 26,1953,Publisher 6,Horror,2.5,467,German,Description for book 126...
127,Book Title 127,Author 27,1953,Publisher 7,Horror,3.4,261,Chinese,Description for book 127...
128,Book Title 128,Author 28,2010,Publisher 8,Thriller,2.8,546,French,Description for book 128...
129,Book Title 129,Author 29,1997,Publisher 9,Non-Fiction,1.0,703,Spanish,Description for book 129...
130,Book Title 130,Author 30,1928,Publisher 10,Biography,3.7,667,French,Description for book 130...
131,Book Title 131,Author 31,1903,Publisher 11,Science Fiction,4.0,401,French,Description for book 131...
132,Book Title 132,Author 32,1932,Publisher 12,Fiction,1.0,697,Chinese,Description for book 132...
133,Book Title 133,Author 33,1925,Publisher 13,Thriller,1.9,761,English,Description for book 133...
134,Book Title 134,Author 34,1976,Publisher 14,Fantasy,1.6,416,English,Description for book 134...
135,Book Title 135,Author 35,1912,Publisher 15,Non-Fiction,2.5,223,Spanish,Description for book 135...
136,Book Title 136,Author 36,1906,Publisher 16,Fantasy,4.5,702,German,Description for book 136...
137,Book Title 137,Author 37,1944,Publisher 17,Non-Fiction,3.6,211,Chinese,Description for book 137...
138,Book Title 138,Author 38,2020,Publisher 18,Fantasy,2.5,589,English,Description for book 138...
139,Book Title 139,Author 39,1938,Publisher 19,Fantasy,1.6,685,Spanish,Description for book 139...
140,Book Title 140,Author 40,1991,Publisher 0,Thriller,1.3,323,English,Description for book 140...
141,Book Title 141,Author 41,1924,Publisher 1,Science Fiction,1.1,179,French,Description for book 141...
142,Book Title 142,Author 42,1962,Publisher 2,Fiction,4.4,159,Spanish,Description for book 142...
143,Book Title 143,Author 43,1908,Publisher 3,Fantasy,1.7,149,German,Description for book 143...
144,Book Title 144,Author 44,1950,Publisher 4,Biography,2.9,613,Spanish,Description for book 144...
145,Book Title 145,Author 45,1945,Publisher 5,Mystery,3.5,765,Spanish,Description for book 145...
146,Book Title 146,Author 46,1928,Publisher 6,Horror,3.4,354,English,Description for book 146...
147,Book Title 147,Author 47,1990,Publisher 7,Horror,3.1,783,French,Description for book 147...
148,Book Title 148,Author 48,1951,Publisher 8,Science Fiction,4.9,165,Spanish,Description for book 148...
149,Book Title 149,Author 49,1959,Publisher 9,Horror,4.9,766,English,Description for book 149...
150,Book Title 150,Author 50,1920,Publisher 10,Mystery,1.1,780,German,Description for book 150...
151,Book Title 151,Author 51,1955,Publisher 11,Fiction,2.8,678,Spanish,Description for book 151...
152,Book Title 152,Author 52,1980,Publisher 12,Thriller,1.7,742,German,Description for book 152...
153,Book Title 153,Author 53,1903,Publisher 13,Thriller,2.3,189,German,Description for book 153...
154,Book Title 154,Author 54,2014,Publisher 14,Biography,4.1,389,French,Description for book 154...
155,Book Title 155,Author 55,1909,Publisher 15,Horror,4.8,435,Chinese,Description for book 155...
156,Book Title 156,Author 56,1918,Publisher 16,Non-Fiction,2.4,183,Chinese,Description for book 156...
157,Book Title 157,Author 57,1922,Publisher 17,Fantasy,3.0,679,German,Description for book 157...
158,Book Title 158,Author 58,2012,Publisher 18,Thriller,1.9,631,French,Description for book 158...
159,Book Title 159,Author 59,1912,Publisher 19,Non-Fiction,1.4,667,Chinese,Description for book 159...
160,Book Title 160,Author 60,1976,Publisher 0,Science Fiction,3.9,334,Spanish,Description for book 160...
161,Book Title 161,Author 61,1916,Publisher 1,Horror,1.8,101,English,Description for book 161...
162,Book Title 162,Author 62,2010,Publisher 2,Mystery,4.7,755,Chinese,Description for book 162...
163,Book Title 163,Author 63,1968,Publisher 3,Thriller,4.7,397,German,Description for book 163...
164,Book Title 164,Author 64,1997,Publisher 4,Science Fiction,2.0,699,Spanish,Description for book 164...
165,Book Title 165,Author 65,1987,Publisher 5,Fiction,1.0,771,Chinese,Description for book 165...
166,Book Title 166,Author 66,1913,Publisher 6,Romance,1.3,376,Spanish,Description for book 166...
167,Book Title 167,Author 67,1934,Publisher 7,Mystery,3.6,138,Chinese,Description for book 167...
168,Book Title 168,Author 68,1947,Publisher 8,Biography,3.5,443,English,Description for book 168...
169,Book Title 169,Author 69,1981,Publisher 9,Thriller,2.2,614,Chinese,Description for book 169...
170,Book Title 170,Author 70,1962,Publisher 10,Mystery,1.9,276,German,Description for book 170...
171,Book Title 171,Author 71,1932,Publisher 11,Horror,3.5,223,German,Description for book 171...
172,Book Title 172,Author 72,1933,Publisher 12,Fantasy,3.5,306,Spanish,Description for book 172...
173,Book Title 173,Author 73,1934,Publisher 13,Biography,1.0,127,Spanish,Description for book 173...
174,Book Title 174,Author 74,1994,Publisher 14,Romance,3.1,369,Spanish,Description for book 174...
175,Book Title 175,Author 75,1999,Publisher 15,Fiction,4.1,185,German,Description for book 175...
176,Book Title 176,Author 76,1913,Publisher 16,Fiction,3.3,431,French,Description for book 176...
177,Book Title 177,Author 77,1968,Publisher 17,Non-Fiction,2.0,665,Chinese,Description for book 177...
178,Book Title 178,Author 78,2015,Publisher 18,Horror,2.7,301,Spanish,Description for book 178...
179,Book Title 179,Author 79,2020,Publisher 19,Science Fiction,1.2,110,French,Description for book 179...
180,Book Title 180,Author 80,1925,Publisher 0,Non-Fiction,3.6,133,German,Description for book 180...
181,Book Title 181,Author 81,2018,Publisher 1,Science Fiction,2.8,613,French,Description for book 181...
182,Book Title 182,Author 82,2021,Publisher 2,Mystery,1.6,437,French,Description for book 182...
183,Book Title 183,Author 83,1916,Publisher 3,Romance,1.9,640,English,Description for book 183...
184,Book Title 184,Author 84,1966,Publisher 4,Fiction,3.5,487,Chinese,Description for book 184...
185,Book Title 185,Author 85,1975,Publisher 5,Biography,3.9,395,English,Description for book 185...
186,Book Title 186,Author 86,1934,Publisher 6,Non-Fiction,3.8,492,German,Description for book 186...
187,Book Title 187,Author 87,1919,Publisher 7,Romance,3.1,372,French,Description for book 187...
188,Book Title 188,Author 88,1931,Publisher 8,Fantasy,2.2,558,Spanish,Description for book 188...
189,Book Title 189,Author 89,1962,Publisher 9,Fantasy,3.1,216,English,Description for book 189...
190,Book Title 190,Author 90,1928,Publisher 10,Thriller,2.8,512,German,Description for book 190...
191,Book Title 191,Author 91,1927,Publisher 11,Biography,2.1,376,German,Description for book 191...
192,Book Title 192,Author 92,1930,Publisher 12,Fiction,1.3,131,German,Description for book 192...
193,Book Title 193,Author 93,1925,Publisher 13,Horror,3.4,300,Spanish,Description for book 193...
194,Book Title 194,Author 94,1957,Publisher 14,Fiction,4.9,547,Chinese,Description for book 194...
195,Book Title 195,Author 95,1948,Publisher 15,Fantasy,2.8,419,English,Description for book 195...
196,Book Title 196,Author 96,1928,Publisher 16,Fantasy,1.4,617,English,Description for book 196...
197,Book Title 197,Author 97,2021,Publisher 17,Fiction,2.0,661,German,Description for book 197...
198,Book Title 198,Author 98,1930,Publisher 18,Science Fiction,1.5,650,French,Description for book 198...
199,Book Title 199,Author 99,1986,Publisher 19,Mystery,2.5,271,French,Description for book 199...
200,Book Title 200,Author 0,1912,Publisher 0,Fantasy,4.6,373,German,Description for book 200...
201,Book Title 201,Author 1,1929,Publisher 1,Fantasy,1.8,697,English,Description for book 201...
202,Book Title 202,Author 2,1924,Publisher 2,Fantasy,4.7,786,German,Description for book 202...
203,Book Title 203,Author 3,1905,Publisher 3,Fiction,3.3,651,German,Description for book 203...
204,Book Title 204,Author 4,2012,Publisher 4,Fantasy,1.6,226,French,Description for book 204...
205,Book Title 205,Author 5,1915,Publisher 5,Biography,1.1,424,Spanish,Description for book 205...
206,Book Title 206,Author 6,2001,Publisher 6,Romance,4.3,109,French,Description for book 206...
207,Book Title 207,Author 7,1968,Publisher 7,Science Fiction,2.4,302,Spanish,Description for book 207...
208,Book Title 208,Author 8,1901,Publisher 8,Biography,4.3,383,German,Description for book 208...
209,Book Title 209,Author 9,1945,Publisher 9,Science Fiction,4.0,760,French,Description for book 209...
210,Book Title 210,Author 10,1972,Publisher 10,Biography,3.6,307,French,Description for book 210...
211,Book Title 211,Author 11,2004,Publisher 11,Romance,3.5,162,French,Description for book 211...
212,Book Title 212,Author 12,1958,Publisher 12,Romance,3.7,625,French,Description for book 212...
213,Book Title 213,Author 13,1928,Publisher 13,Science Fiction,3.4,514,English,Description for book 213...
214,Book Title 214,Author 14,1973,Publisher 14,Science Fiction,1.6,402,Chinese,Description for book 214...
215,Book Title 215,Author 15,1914,Publisher 15,Thriller,3.3,522,French,Description for book 215...
216,Book Title 216,Author 16,1982,Publisher 16,Romance,3.0,283,English,Description for book 216...
217,Book Title 217,Author 17,1926,Publisher 17,Mystery,2.0,749,German,Description for book 217...
218,Book Title 218,Author 18,1918,Publisher 18,Fiction,1.8,643,French,Description for book 218...
219,Book Title 219,Author 19,2013,Publisher 19,Non-Fiction,1.9,549,Spanish,Description for book 219...
220,Book Title 220,Author 20,1956,Publisher 0,Fantasy,1.8,228,French,Description for book 220...
221,Book Title 221,Author 21,1983,Publisher 1,Fantasy,3.8,504,French,Description for book 221...
222,Book Title 222,Author 22,1920,Publisher 2,Thriller,1.5,322,Spanish,Description for book 222...
223,Book Title 223,Author 23,1936,Publisher 3,Fiction,1.6,501,English,Description for book 223...
224,Book Title 224,Author 24,1936,Publisher 4,Mystery,2.2,650,Chinese,Description for book 224...
225,Book Title 225,Author 25,1981,Publisher 5,Non-Fiction,4.1,418,English,Description for book 225...
226,Book Title 226,Author 26,1966,Publisher 6,Thriller,1.6,447,French,Description for book 226...
227,Book Title 227,Author 27,1950,Publisher 7,Science Fiction,2.6,410,French,Description for book 227...
228,Book Title 228,Author 28,1901,Publisher 8,Thriller,4.1,427,French,Description for book 228...
229,Book Title 229,Author 29,1984,Publisher 9,Mystery,3.0,494,Chinese,Description for book 229...
230,Book Title 230,Author 30,1912,Publisher 10,Fantasy,3.4,212,Chinese,Description for book 230...
231,Book Title 231,Author 31,1941,Publisher 11,Mystery,2.9,265,French,Description for book 231...
232,Book Title 232,Author 32,2007,Publisher 12,Mystery,1.3,419,German,Description for book 232...
233,Book Title 233,Author 33,2012,Publisher 13,Biography,2.2,794,English,Description for book 233...
234,Book Title 234,Author 34,1988,Publisher 14,Romance,3.5,330,German,Description for book 234...
235,Book Title 235,Author 35,1958,Publisher 15,Fantasy,3.4,280,French,Description for book 235...
236,Book Title 236,Author 36,1902,Publisher 16,Romance,2.2,522,Spanish,Description for book 236...
237,Book Title 237,Author 37,1949,Publisher 17,Non-Fiction,3.6,776,French,Description for book 237...
238,Book Title 238,Author 38,1923,Publisher 18,Fantasy,3.5,211,French,Description for book 238...
239,Book Title 239,Author 39,1989,Publisher 19,Horror,1.5,180,French,Description for book 239...
240,Book Title 240,Author 40,1912,Publisher 0,Thriller,3.6,117,English,Description for book 240...
241,Book Title 241,Author 41,2014,Publisher 1,Science Fiction,1.5,396,Chinese,Description for book 241...
242,Book Title 242,Author 42,2004,Publisher 2,Fantasy,2.2,209,Spanish,Description for book 242...
243,Book Title 243,Author 43,1983,Publisher 3,Science Fiction,1.2,339,French,Description for book 243...
244,Book Title 244,Author 44,1900,Publisher 4,Science Fiction,4.8,266,Chinese,Description for book 244...
245,Book Title 245,Author 45,1920,Publisher 5,Fantasy,2.3,377,French,Description for book 245...
246,Book Title 246,Author 46,1983,Publisher 6,Fantasy,4.7,487,English,Description for book 246...
247,Book Title 247,Author 47,2002,Publisher 7,Fiction,4.9,742,French,Description for book 247...
248,Book Title 248,Author 48,1930,Publisher 8,Non-Fiction,1.6,702,Chinese,Description for book 248...
249,Book Title 249,Author 49,1949,Publisher 9,Fiction,2.3,436,Spanish,Description for book 249...
250,Book Title 250,Author 50,1914,Publisher 10,Biography,1.4,572,German,Description for book 250...
251,Book Title 251,Author 51,1976,Publisher 11,Non-Fiction,4.8,180,French,Description for book 251...
252,Book Title 252,Author 52,1917,Publisher 12,Horror,1.1,794,French,Description for book 252...
253,Book Title 253,Author 53,1963,Publisher 13,Fantasy,4.5,425,Spanish,Description for book 253...
254,Book Title 254,Author 54,2000,Publisher 14,Fiction,1.7,271,French,Description for book 254...
255,Book Title 255,Author 55,1904,Publisher 15,Thriller,2.1,328,Chinese,Description for book 255...
256,Book Title 256,Author 56,1932,Publisher 16,Fiction,3.3,316,English,Description for book 256...
257,Book Title 257,Author 57,1928,Publisher 17,Romance,4.7,752,Chinese,Description for book 257...
258,Book Title 258,Author 58,1911,Publisher 18,Fantasy,4.4,322,Spanish,Description for book 258...
259,Book Title 259,Author 59,1963,Publisher 19,Romance,2.5,210,English,Description for book 259...
260,Book Title 260,Author 60,1987,Publisher 0,Non-Fiction,3.4,480,Chinese,Description for book 260...
261,Book Title 261,Author 61,1986,Publisher 1,Romance,3.2,143,Chinese,Description for book 261...
262,Book Title 262,Author 62,1937,Publisher 2,Thriller,4.2,609,Chinese,Description for book 262...
263,Book Title 263,Author 63,1956,Publisher 3,Fantasy,3.0,484,Spanish,Description for book 263...
264,Book Title 264,Author 64,1989,Publisher 4,Horror,2.9,422,French,Description for book 264...
265,Book Title 265,Author 65,1951,Publisher 5,Horror,1.2,662,English,Description for book 265...
266,Book Title 266,Author 66,1945,Publisher 6,Horror,3.8,616,Spanish,Description for book 266...
267,Book Title 267,Author 67,1954,Publisher 7,Non-Fiction,2.4,231,German,Description for book 267...
268,Book Title 268,Author 68,1952,Publisher 8,Thriller,4.2,119,German,Description for book 268...
269,Book Title 269,Author 69,1995,Publisher 9,Non-Fiction,4.8,692,English,Description for book 269...
270,Book Title 270,Author 70,1973,Publisher 10,Horror,2.8,172,French,Description for book 270...
271,Book Title 271,Author 71,1906,Publisher 11,Thriller,2.8,794,Chinese,Description for book 271...
272,Book Title 272,Author 72,1928,Publisher 12,Romance,1.6,605,Chinese,Description for book 272...
273,Book Title 273,Author 73,1927,Publisher 13,Biography,3.6,385,French,Description for book 273...
274,Book Title 274,Author 74,1977,Publisher 14,Fantasy,1.1,190,English,Description for book 274...
275,Book Title 275,Author 75,2018,Publisher 15,Romance,2.9,789,Chinese,Description for book 275...
276,Book Title 276,Author 76,1967,Publisher 16,Thriller,2.5,227,French,Description for book 276...
277,Book Title 277,Author 77,1932,Publisher 17,Romance,2.7,288,French,Description for book 277...
278,Book Title 278,Author 78,1963,Publisher 18,Fantasy,1.5,614,Chinese,Description for book 278...
279,Book Title 279,Author 79,1927,Publisher 19,Fantasy,4.2,360,German,Description for book 279...
280,Book Title 280,Author 80,1916,Publisher 0,Horror,1.3,411,English,Description for book 280...
281,Book Title 281,Author 81,1962,Publisher 1,Fiction,3.2,107,Chinese,Description for book 281...
282,Book Title 282,Author 82,1921,Publisher 2,Biography,3.9,615,German,Description for book 282...
283,Book Title 283,Author 83,1980,Publisher 3,Fiction,4.6,178,Chinese,Description for book 283...
284,Book Title 284,Author 84,1938,Publisher 4,Mystery,2.5,287,Spanish,Description for book 284...
285,Book Title 285,Author 85,1948,Publisher 5,Thriller,1.6,676,English,Description for book 285...
286,Book Title 286,Author 86,1973,Publisher 6,Biography,1.9,408,English,Description for book 286...
287,Book Title 287,Author 87,1915,Publisher 7,Fantasy,4.1,223,German,Description for book 287...
288,Book Title 288,Author 88,1927,Publisher 8,Fiction,4.0,435,Spanish,Description for book 288...
289,Book Title 289,Author 89,2013,Publisher 9,Non-Fiction,2.3,198,French,Description for book 289...
290,Book Title 290,Author 90,1946,Publisher 10,Fantasy,3.7,684,Chinese,Description for book 290...
291,Book Title 291,Author 91,1960,Publisher 11,Biography,1.3,525,Spanish,Description for book 291...
292,Book Title 292,Author 92,1980,Publisher 12,Fiction,1.9,611,Chinese,Description for book 292...
293,Book Title 293,Author 93,1996,Publisher 13,Fiction,4.4,750,Chinese,Description for book 293...
294,Book Title 294,Author 94,1955,Publisher 14,Non-Fiction,1.4,732,German,Description for book 294...
295,Book Title 295,Author 95,1987,Publisher 15,Science Fiction,3.4,163,Chinese,Description for book 295...
296,Book Title 296,Author 96,1909,Publisher 16,Romance,1.6,591,Spanish,Description for book 296...
297,Book Title 297,Author 97,1912,Publisher 17,Science Fiction,4.7,778,Spanish,Description for book 297...
298,Book Title 298,Author 98,1968,Publisher 18,Science Fiction,1.9,360,Spanish,Description for book 298...
299,Book Title 299,Author 99,2004,Publisher 19,Science Fiction,3.7,271,Chinese,Description for book 299...
